dataset_name,OS-CNN,STC,ROCKET,TS-CHIEF,Encoder,FCN,FCN(16),FCN(50),FCN(100),FCN(150),FCN(200),ResNet,MLP,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN,1-NN DTW CV,1-NN DTW,LS,TSBF,EE(PROP),PF,ST,BOSS,WEASEL,Flat-COTE,HIVE-COTE,Inception,InceptionTime,OS-CNN-ENS(2),OS-CNN-ENS(3),OS-CNN-ENS(4),OS-CNN-ENS(5),OS-CNN-ENS(6),OS-CNN-ENS(7),OS-CNN-ENS(8),OS-CNN-RES(2),OS-CNN-RES(3),UOS-CNN
ECG5000,94.00888888888889(0.13524554715291578),94.17777778,94.715556,100,94.1111111111111(0.0647883543871708),94.01666666666667(0.08069910581297418),94.01666666666667(0.08069910581297418),93.86666667,94,94.08888889,94.08888889,93.54444444444445(0.3863408589047528),92.93333333333334(0.1547598697464846),61.8(10.9),58.37777777777777(0.0),93.23888888888888(0.3356861408893555),92.79444444444445(0.12993350626139877),92.17777777777778(0.12272623352430631),92.5,75,93.22222222,93.95555556,93.86666667,93.7555556,94.37777778,94.1333333,94.822,94.6,94.6222222,93.92888888888888(0.17688665548562912),94.0888889(0.0),94.06222222,94.08222222,94.08222222,94.08444444,94.04888889,94.09555556,94.07555556,93.333,93.556,93.84444444
ECGFiveDays,99.95354239256677(0.13937282229965042),97.78939218,100,74.82,83.10104529616726(1.7099224000389657),98.49012775842043(0.24637866940297226),98.49012775842043(0.24637866940297226),100,100,100,100,95.96399535423924(4.06452211725172),97.12543554006969(0.2889045984630107),49.9(0.3),49.70963995354241(0.0),75.72590011614402(10.777013435226062),87.07897793263646(1.8186369529372333),68.46689895470382(11.133026688449078),79.7,76.8,100,87.68873403,81.99767712,80.5110337,98.37398374,100,100,99.883856,100,100.0(0.0),100.0(0.0),100,100,100,100,100,100,100,100,100,100
ElectricDevices,72.35896770846843(0.8338484756603608),88.17749535,72.941253,75.53,70.0946699520166(0.6495257148562388),70.84035793022954(0.4616580861451823),70.84035793022954(0.4616580861451823),69.2776553,67.26753988,62.24873557,62.13201919,72.69809363247309(0.5272112488901877),59.518869147970435(0.5704291682139033),33.6(19.8),24.23810141356504(0.0),65.41304629749709(1.054083503256705),68.72001037478927(0.7938896090241571),60.39424199195953(0.8539036936654216),62.5,60.1,58.7472442,70.25029179,66.29490338,68.8509921,74.69848269,79.9247828,73.285,71.3266762,77.0328103,70.86240435741149(0.4170452362475148),72.39009209999999(0.0),73.26287122,73.7154714,73.55466217,73.68694073,73.864609,73.89313967,73.86849955,73.116,73.635,74.03708987
FaceAll,84.4733727810651(2.9369862868736707),95.36883629,94.650888,84.14,79.31952662721893(0.5463368435686271),93.41715976331362(1.230836792638108),93.41715976331362(1.230836792638108),86.09467456,79.46745562,80.23668639,81.06508876,87.63313609467455(1.3184781038554516),79.27514792899409(0.6993459558327122),17.0(19.5),8.04733727810651(0.0),72.13017751479289(0.8885596105136796),77.67751479289942(0.6777343898790138),67.32248520710058(2.9274620941224945),80.8,80.8,78.25,74.43786982,84.85207101,92.7278107,77.86982249,78.1656805,78.698,91.7751479,80.295858,80.08284023668638(1.4859495068026105),80.7100592(0.0),83.92307692,84.32544379,84.39053254,84.46745562,83.66272189,84.53846154,84.24852071,81.953,83.728,81.65680473
FaceFour,95.11363636363637(0.887528372262119),65.64393939,97.727273,100,85.22727272727273(4.175266607016781),93.18181818181817(0.0),93.18181818181817(0.0),92.04545455,95.45454545,95.45454545,96.59090909,95.45454545454545(0.0),83.52272727272728(1.2704931690339702),26.8(5.7),29.545454545454554(0.0),69.60227272727273(16.766178045090342),90.90909090909092(0.0),86.64772727272728(6.692738062153265),88.6,83,95.22,100,90.90909091,92.6136364,85.22727273,100,100,89.7727273,95.4545455,95.68181818181817(0.45454545454544976),95.4545455(0.0),95.34090909,95.56818182,95.68181818,95.34090909,95.34090909,95.45454545,95.45454545,94.318,96.591,96.59090909
FacesUCR,96.74146341463414(0.14763654585777142),91.0097561,96.141463,96.63,86.86585365853658(0.1395795505153608),94.29268292682926(0.22618581696330647),94.29268292682926(0.22618581696330647),95.36585366,94.63414634,94.09756098,94.58536585,95.39024390243902(0.2896180996838467),83.01219512195121(0.398353243196612),15.3(2.7),14.341463414634145(0.0),76.52439024390245(3.1508523156899164),87.40243902439025(0.3968570754944633),64.17073170731706(2.0007434668113064),91.2,90.5,94.13,86.68292683,94.48780488,92.8292683,90.58536585,95.7073171,95.22,94.2439024,96.2926829,96.39999999999999(0.32416093123582307),97.1219512(0.0),96.96585366,97.11219512,97.04878049,97.09268293,97.12195122,97.14634146,97.1804878,96.829,96,97.12195122
FiftyWords,81.60439560439559(0.8571428571428558),73.65567766,83.032967,84.5,65.65934065934066(1.6620311496982627),64.72527472527472(1.1367121354712744),64.72527472527472(1.1367121354712744),75.38461538,80.21978022,79.12087912,81.97802198,73.62637362637363(0.945310468905785),70.76923076923077(0.3475030395789416),22.0(24.3),12.527472527472527(0.0),62.91208791208791(3.1901271136252283),62.30769230769231(1.1367121354712746),52.032967032967036(1.3402539469945558),76.5,69,76.81,75.82417582,81.97802198,80,70.54945055,70.5494505,81.099,79.7802198,80.8791209,80.65934065934066(1.1206636293610521),83.07692309999999(0.0),83.0989011,83.25274725,83.25274725,83.95604396,84.06593407,83.78021978,84.06593407,82.637,79.78,85.27472527
Fish,98.74285714285713(0.8000000000000029),94.99047619,97.942857,99.43,72.14285714285714(3.6894775914699856),96.28571428571429(0.2857142857142836),96.28571428571429(0.2857142857142836),99.42857143,100,100,97.71428571,98.14285714285714(0.24743582965269015),85.0(0.7423074889580885),13.4(1.3),12.571428571428573(0.0),71.42857142857142(4.060762972443397),85.85714285714286(0.47380354147934434),88.0(6.2986879100138875),84.6,82.3,93.37,83.42857143,96.57142857,90.9142857,98.85714286,98.8571429,96.571,98.2857143,98.8571429,97.6(0.6663945022680332),98.2857143(0.0),98.74285714,98.85714286,98.85714286,99.02857143,98.91428571,98.91428571,99.2,98.286,97.714,98.85714286
FordA,95.47727272727272(0.269019407644921),93.42424242,94.439394,94.1,92.91666666666667(0.2039835154217641),91.32575757575758(0.49532942540234304),91.32575757575758(0.49532942540234304),92.72727273,93.56060606,95,94.77272727,93.84469696969697(0.43312866007686684),81.36363636363636(0.6338333534349044),51.3(0.0),50.79545454545453(1.3777676878388814),86.30681818181819(1.6789962333783826),89.35606060606061(0.26515151515151825),55.321969696969695(0.6525164082178826),69.1,55.5,95.6818182,85,73.78787879,84.6969697,97.12121212,92.9545455,97.273,95.6818182,96.4393939,95.72727272727273(0.16318681233740653),96.1363636(0.0),95.82575758,95.88636364,95.90151515,95.9469697,95.90909091,95.95454545,95.91666667,95.227,95.909,96.21212121
FordB,83.79012345679013(0.9206433672840582),91.98353909,80.506173,82.96,77.43827160493827(0.7826371810559223),77.19135802469135(0.43099506307928626),77.19135802469135(0.43099506307928626),82.22222222,84.69135802,83.7037037,81.60493827,81.20370370370371(0.5749362966110233),70.37037037037037(0.7092052650046974),49.8(1.2),50.24691358024691(0.4276668660663885),69.38271604938272(2.3473028817076),75.03086419753086(1.4926916406597222),51.2962962962963(1.4143752144925403),60.7,62,91.7283951,59.87654321,66.17283951,69.6790123,80.74074074,71.1111111,83.21,80.3703704,82.345679,84.88888888888889(1.1384831489776301),86.1728395(0.0),84.09876543,84.50617284,84.08641975,84.17283951,84.09876543,84.12345679,84.22222222,84.198,84.938,86.66666667
GunPoint,99.93333333333332(0.20000000000000132),98.64444444,100,100,78.5(2.1794494717703388),100.0(0.0),100.0(0.0),99.33333333,99.33333333,98,98.66666667,99.0(0.7453559924999272),92.5(0.7264831572567804),51.3(3.9),49.33333333333334(0.0),90.16666666666667(4.5795438880113615),94.83333333333334(1.4433756729740692),99.0(0.3333333333333188),91.3,90.7,100,98.66666667,99.33333333,99.3333333,100,100,100,100,100,100.0(0.0),100.0(0.0),99.86666667,100,99.93333333,100,100,100,100,100,100,99.33333333
Ham,70.38095238095238(1.1625291062603536),81.07936508,72.571429,71.52,67.6190476190476(1.7817416127494983),70.95238095238095(1.7169291787923737),70.95238095238095(1.7169291787923737),72.38095238,74.28571429,61.9047619,66.66666667,75.95238095238095(1.4085904245475311),69.52380952380952(1.3468700594029468),50.6(1.4),51.42857142857142(0.0),72.85714285714286(2.3809523809523805),72.38095238095238(2.4281045302822775),78.33333333333331(3.1134992453861976),60,46.7,66.66666667,76.19047619,57.14285714,63.9047619,68.57142857,66.6666667,65.714,64.7619048,66.6666667,70.47619047619047(1.2046772038736693),71.42857140000001(0.0),70,69.80952381,69.61904762,70.57142857,69.33333333,69.80952381,70.47619048,71.429,75.238,68.57142857
HandOutlines,92.94594594594594(2.522216841195506),92.14414414,94.243243,93.22,85.67567567567566(0.875775770055115),82.29729729729729(10.85211703400749),82.29729729729729(10.85211703400749),75.67567568,71.35135135,81.62162162,94.32432432,90.60810810810813(2.070480195411436),91.55405405405406(0.2945201988878899),64.1(0.0),57.027027027027025(12.17116783697049),90.60810810810811(0.7245814388353835),88.3108108108108(0.5851522998543486),66.35135135135135(0.7994702409594103),86.2,88.1,48.1081081,85.40540541,88.91891892,90.6756757,93.24324324,90.2702703,94.865,91.8918919,93.2432432,94.64864864864865(1.4136969546618365),95.4054054(0.0),94.13513514,95.13513514,95.2972973,95.51351351,95.59459459,95.32432432,95.40540541,95.676,95.946,96.21621622
Haptics,51.0064935064935(1.357826212099122),54.16666667,52.402597,51.68,39.20454545454545(1.285956129687896),49.02597402597403(0.607411913437329),49.02597402597403(0.607411913437329),52.27272727,52.92207792,50.32467532,49.02597403,50.48701298701299(1.064519240958115),42.37012987012987(0.8435312374523728),20.9(3.5),20.77922077922078(0.0),40.01623376623377(1.4406038432872446),37.58116883116883(1.3062887126161593),40.17857142857143(0.7394832450604133),41.2,37.7,46.82,49.02597403,39.28571429,45.1298701,52.27272727,46.1038961,38.636,52.2727273,51.9480519,54.87012987012987(1.4226559935199103),54.870129899999995(0.0),51.94805195,52.14285714,51.91558442,52.04545455,52.20779221,52.24025974,52.17532468,53.571,53.896,55.51948052
Herring,60.78125(4.041411611367988),63.28125,69.21875,58.81,51.953125(2.3109686652732875),64.0625(3.125),64.0625(3.125),64.0625,57.8125,59.375,56.25,58.984375(1.7026948998205758),48.828125(2.3109686652732875),59.4(0.0),59.375(0.0),59.765625(0.6765823467065927),53.515625(2.561499423555469),59.765625(2.029747040119778),53.1,53.1,62.5,64.0625,57.8125,60,67.1875,54.6875,65.625,62.5,68.75,66.5625(3.2173844190584373),67.1875(0.0),62.5,62.5,61.40625,61.5625,61.71875,62.65625,62.5,65.625,64.062,64.0625
InlineSkate,42.92727272727273(2.522559371972039),43.92727273,45.690909,52.69,24.181818181818183(0.8624393618641039),32.99999999999999(0.3748277841470601),32.99999999999999(0.3748277841470601),38.36363636,34,40,39.63636364,37.81818181818182(0.5604012729971779),33.45454545454546(1.1712817024295556),16.7(1.6),15.454545454545453(0.12856486930664388),19.86363636363636(1.5340488209714755),28.772727272727273(1.2154310870109954),32.95454545454546(3.2610270653064433),38.7,38.4,42.73,38.54545455,46,42.2727273,37.27272727,51.6363636,61.273,49.4545455,50,48.509090909090915(1.1172575633263437),49.090909100000005(0.0),45.78181818,45.56363636,46.12727273,44.27272727,46.47272727,46.69090909,46.87272727,41.455,46.727,47.81818182
InsectWingbeatSound,63.52020202020202(0.4443583479509922),62.85521886,65.681818,64.29,62.62626262626263(0.4417387799125228),38.82575757575757(0.6751214336007517),38.82575757575757(0.6751214336007517),48.93939394,60.95959596,62.72727273,62.97979798,49.734848484848484(0.46064233199380666),60.23989898989899(0.45925589594629473),15.8(14.2),9.090909090909092(0.0),57.752525252525245(0.43225360526827533),58.39646464646464(0.6588683396792792),43.737373737373744(3.8056820674312113),57.8,35.5,60.60606061,62.47474747,59.49494949,61.4141414,62.67676768,52.3232323,64.04,65.2525253,65.5050505,63.040404040404056(0.3037029571388486),63.8888889(0.0),63.6969697,64.02525253,63.87373737,64.06565657,64.14646465,64.01010101,64.04040404,62.475,63.586,63.58585859
ItalyPowerDemand,94.72303206997084(0.28182701652089287),95.38062844,96.958212,97.06,96.33138969873664(0.21040461705161487),96.33138969873663(0.08057883358491158),96.33138969873663(0.08057883358491158),96.11273081,95.33527697,96.79300292,96.89018465,96.03984450923227(0.10590133487709268),95.40816326530613(0.126242770230972),50.0(0.2),49.85422740524781(0.0),96.5986394557823(0.3947540527034046),95.45675413022352(0.10590133487708632),87.0505344995141(3.7001712324766225),95.5,95,96.95,88.33819242,96.20991254,96.3848397,94.75218659,90.8649174,95.141,96.1127308,96.3070943,96.4237123420797(0.5265779274691528),96.5014577(0.0),94.83965015,94.96598639,94.99514091,94.99514091,95.00485909,95.05344995,95.00485909,96.016,95.918,96.20991254
LargeKitchenAppliances,89.57333333333335(0.9794329425177045),92.98666667,90.053333,80.68,72.93333333333334(2.137495938917518),90.26666666666667(0.2981423969999739),90.26666666666667(0.2981423969999739),88.26666667,88.8,87.2,85.33333333,90.33333333333333(0.47609522856952335),47.199999999999996(0.7302967433402207),41.0(16.5),33.33333333333333(0.0),43.133333333333326(1.183215956619925),64.86666666666667(2.8682166352398575),78.60000000000001(0.8299933065325851),79.5,79.5,70.13333333,52.8,81.06666667,75.3866667,85.86666667,76.5333333,68.267,84.5333333,86.4,90.02666666666667(0.464949220644342),90.4(0.0),89.73333333,90.02666667,90.16,90.02666667,90.24,89.97333333,90.26666667,89.867,89.067,90.13333333
