dataset_name,OS-CNN,OS-CNN-RES(2),OS-CNN-RES(3),OS-CNN-RES(5),OS-CNN-RES(6)
StarLightCurves,97.5036426,97.608,97.669,97.559,97.426
Strawberry,98.1891892,98.919,98.108,98.649,98.378
SwedishLeaf,97.12,96.96,95.84,95.2,94.08
Symbols,96.120603,96.583,97.487,96.482,95.779
SyntheticControl,99.9333334,99.667,100,99.667,99.333
ToeSegmentation1,95.3947369,96.053,96.93,94.737,93.86
ToeSegmentation2,94.6153846,95.385,94.615,93.077,89.231
Trace,100,100,100,100,100
TwoLeadECG,99.9209836,100,99.912,99.912,99.649
TwoPatterns,100,100,100,100,100
UMD,99.3055556,99.306,99.306,99.306,99.306
UWaveGestureLibraryAll,94.2462313,96.566,96.901,96.343,96.538
UWaveGestureLibraryX,82.1803462,82.998,82.328,82.775,81.379
UWaveGestureLibraryY,75.7174762,76.801,76.103,74.651,75.042
UWaveGestureLibraryZ,76.3623675,77.024,75.879,75.489,75.907
Wafer,99.8377676,99.87,99.74,99.838,99.773
Wine,74.4444443,79.63,50,79.63,22.222
WordSynonyms,74.2319748,74.765,73.668,71.473,71.944
Worms,76.4935065,77.922,68.831,61.039,74.026
WormsTwoClass,65.7142857,74.026,70.13,64.935,76.623
Yoga,91.0566666,90.733,89.8,89.6,87.733
